t_s,load1,soc_c,ddr_c,cpu_mhz,process,cpu_pct
36.9,22.94,65.6,64.7,1500,tunnel_bridge,21.1
36.9,22.94,65.6,64.7,1500,safety_monitor,40.5
36.9,22.94,65.6,64.7,1500,command_owner,39.9
36.9,22.94,65.6,64.7,1500,bpu_detector,46.7
36.9,22.94,65.6,64.7,1500,system_monitor,57.4
36.9,22.94,65.6,64.7,1500,calibration_wizard,37.9
36.9,22.94,65.6,64.7,1500,gui_server,58.0
36.9,22.94,65.6,64.7,1500,measure_load.py,2.9
40.0,24.63,65.8,64.7,1500,astra_camera_container,24.3
40.0,24.63,65.8,64.7,1500,ydlidar_ros2_driver_node,2.6
40.0,24.63,65.8,64.7,1500,joy_node,3.9
40.0,24.63,65.8,64.7,1500,servo_controller,33.1
40.0,24.63,65.8,64.7,1500,tunnel_wall_follower,7.5
40.0,24.63,65.8,64.7,1500,road_perception,55.8
40.0,24.63,65.8,64.7,1500,local_memory,26.6
40.0,24.63,65.8,64.7,1500,uwb_ranges,1.9
40.0,24.63,65.8,64.7,1500,local_pose,36.0
40.0,24.63,65.8,64.7,1500,global_pose,29.2
40.0,24.63,65.8,64.7,1500,global_planner,3.2
40.0,24.63,65.8,64.7,1500,mission_logic,41.2
40.0,24.63,65.8,64.7,1500,corridor,35.7
40.0,24.63,65.8,64.7,1500,local_planner,42.8
40.0,24.63,65.8,64.7,1500,parking_planner,46.4
40.0,24.63,65.8,64.7,1500,recovery_planner,53.5
40.0,24.63,65.8,64.7,1500,path_tracker,34.0
40.0,24.63,65.8,64.7,1500,tunnel_bridge,22.0
40.0,24.63,65.8,64.7,1500,safety_monitor,38.6
40.0,24.63,65.8,64.7,1500,command_owner,39.2
40.0,24.63,65.8,64.7,1500,bpu_detector,44.7
40.0,24.63,65.8,64.7,1500,system_monitor,51.5
40.0,24.63,65.8,64.7,1500,calibration_wizard,41.8
40.0,24.63,65.8,64.7,1500,gui_server,56.4
40.0,24.63,65.8,64.7,1500,measure_load.py,2.6
43.1,24.63,65.8,64.7,1500,nxserver.bin,2.3
43.1,24.63,65.8,64.7,1500,astra_camera_container,23.7
43.1,24.63,65.8,64.7,1500,ydlidar_ros2_driver_node,2.3
43.1,24.63,65.8,64.7,1500,joy_node,3.6
43.1,24.63,65.8,64.7,1500,servo_controller,31.8
43.1,24.63,65.8,64.7,1500,tunnel_wall_follower,7.5
43.1,24.63,65.8,64.7,1500,road_perception,51.6
43.1,24.63,65.8,64.7,1500,local_memory,26.9
43.1,24.63,65.8,64.7,1500,uwb_ranges,1.6
43.1,24.63,65.8,64.7,1500,local_pose,38.9
43.1,24.63,65.8,64.7,1500,global_pose,29.2
43.1,24.63,65.8,64.7,1500,global_planner,3.2
43.1,24.63,65.8,64.7,1500,mission_logic,37.6
43.1,24.63,65.8,64.7,1500,corridor,34.1
43.1,24.63,65.8,64.7,1500,local_planner,42.2
43.1,24.63,65.8,64.7,1500,parking_planner,47.7
43.1,24.63,65.8,64.7,1500,recovery_planner,57.1
43.1,24.63,65.8,64.7,1500,path_tracker,34.4
43.1,24.63,65.8,64.7,1500,tunnel_bridge,22.7
43.1,24.63,65.8,64.7,1500,safety_monitor,41.5
43.1,24.63,65.8,64.7,1500,command_owner,42.5
43.1,24.63,65.8,64.7,1500,bpu_detector,39.6
43.1,24.63,65.8,64.7,1500,system_monitor,55.1
