t_s,load1,soc_c,ddr_c,cpu_mhz,process,cpu_pct
46.3,21.30,68.4,67.1,1500,recovery_planner,61.2
46.3,21.30,68.4,67.1,1500,path_tracker,31.4
46.3,21.30,68.4,67.1,1500,tunnel_bridge,19.8
46.3,21.30,68.4,67.1,1500,safety_monitor,41.5
46.3,21.30,68.4,67.1,1500,command_owner,35.6
46.3,21.30,68.4,67.1,1500,bpu_detector,51.2
46.3,21.30,68.4,67.1,1500,system_monitor,45.7
46.3,21.30,68.4,67.1,1500,race_supervisor,19.4
46.3,21.30,68.4,67.1,1500,gui_server,56.1
46.3,21.30,68.4,67.1,1500,measure_load.py,2.6
49.4,21.83,68.4,67.2,1500,python3,3.2
49.4,21.83,68.4,67.2,1500,astra_camera_container,62.5
49.4,21.83,68.4,67.2,1500,ydlidar_ros2_driver_node,2.6
49.4,21.83,68.4,67.2,1500,joy_node,3.9
49.4,21.83,68.4,67.2,1500,servo_controller,36.3
49.4,21.83,68.4,67.2,1500,tunnel_wall_follower,7.4
49.4,21.83,68.4,67.2,1500,road_perception,50.5
49.4,21.83,68.4,67.2,1500,local_memory,26.6
49.4,21.83,68.4,67.2,1500,camera_preview,1.3
49.4,21.83,68.4,67.2,1500,uwb_ranges,1.6
49.4,21.83,68.4,67.2,1500,local_pose,35.0
49.4,21.83,68.4,67.2,1500,global_pose,28.8
49.4,21.83,68.4,67.2,1500,global_planner,2.9
49.4,21.83,68.4,67.2,1500,mission_logic,33.0
49.4,21.83,68.4,67.2,1500,corridor,31.7
49.4,21.83,68.4,67.2,1500,local_planner,40.8
49.4,21.83,68.4,67.2,1500,parking_planner,44.4
49.4,21.83,68.4,67.2,1500,recovery_planner,63.5
49.4,21.83,68.4,67.2,1500,path_tracker,31.4
49.4,21.83,68.4,67.2,1500,tunnel_bridge,21.4
49.4,21.83,68.4,67.2,1500,safety_monitor,36.6
49.4,21.83,68.4,67.2,1500,command_owner,34.0
49.4,21.83,68.4,67.2,1500,bpu_detector,50.2
49.4,21.83,68.4,67.2,1500,system_monitor,44.7
49.4,21.83,68.4,67.2,1500,race_supervisor,19.8
49.4,21.83,68.4,67.2,1500,gui_server,56.4
49.4,21.83,68.4,67.2,1500,measure_load.py,2.9
52.5,21.83,68.4,67.2,1500,python3,3.2
52.5,21.83,68.4,67.2,1500,astra_camera_container,66.4
52.5,21.83,68.4,67.2,1500,ydlidar_ros2_driver_node,2.6
52.5,21.83,68.4,67.2,1500,joy_node,3.9
52.5,21.83,68.4,67.2,1500,servo_controller,36.3
52.5,21.83,68.4,67.2,1500,tunnel_wall_follower,6.8
52.5,21.83,68.4,67.2,1500,road_perception,42.4
52.5,21.83,68.4,67.2,1500,local_memory,26.2
52.5,21.83,68.4,67.2,1500,uwb_ranges,1.6
52.5,21.83,68.4,67.2,1500,local_pose,36.0
52.5,21.83,68.4,67.2,1500,global_pose,29.2
52.5,21.83,68.4,67.2,1500,global_planner,3.2
52.5,21.83,68.4,67.2,1500,mission_logic,34.7
52.5,21.83,68.4,67.2,1500,corridor,33.7
52.5,21.83,68.4,67.2,1500,local_planner,41.1
52.5,21.83,68.4,67.2,1500,parking_planner,44.7
52.5,21.83,68.4,67.2,1500,recovery_planner,60.3
52.5,21.83,68.4,67.2,1500,path_tracker,32.7
52.5,21.83,68.4,67.2,1500,tunnel_bridge,21.7
52.5,21.83,68.4,67.2,1500,safety_monitor,42.4
52.5,21.83,68.4,67.2,1500,command_owner,35.6
52.5,21.83,68.4,67.2,1500,bpu_detector,52.2
52.5,21.83,68.4,67.2,1500,system_monitor,38.6
52.5,21.83,68.4,67.2,1500,race_supervisor,19.4
52.5,21.83,68.4,67.2,1500,gui_server,57.0
52.5,21.83,68.4,67.2,1500,measure_load.py,2.6
55.5,21.77,68.4,67.2,1500,python3,3.2
55.5,21.77,68.4,67.2,1500,astra_camera_container,61.5
55.5,21.77,68.4,67.2,1500,ydlidar_ros2_driver_node,2.3
55.5,21.77,68.4,67.2,1500,joy_node,3.9
55.5,21.77,68.4,67.2,1500,servo_controller,36.3
55.5,21.77,68.4,67.2,1500,tunnel_wall_follower,7.4
55.5,21.77,68.4,67.2,1500,road_perception,45.6
55.5,21.77,68.4,67.2,1500,local_memory,26.5
55.5,21.77,68.4,67.2,1500,uwb_ranges,1.6
55.5,21.77,68.4,67.2,1500,local_pose,33.0
